Abbreviation,Team Name
ANA,AnaheimAmigos
AND,AndersonPackers
ATL,AtlantaHawks
BAL,BaltimoreBullets
BLB,BaltimoreBullets
BOS,BostonCeltics
BRK,BrooklynNets
BUF,BuffaloBraves
CAP,CapitalBullets
CAR,CarolinaCougars
CHA,CharlotteBobcats
CHH,CharlotteHornets
CHI,ChicagoBulls
CHO,CharlotteHornets
CHP,ChicagoPackers
CHS,ChicagoStags
CHZ,ChicagoZephyrs
CIN,CincinnatiRoyals
CLE,ClevelandCavaliers
CLR,ClevelandRebels
DAL,DallasMavericks
DEN,DenverNuggets
DET,DetroitPistons
DLC,DallasChaparrals
DNA,DenverNuggets
DNN,DenverNuggets
DNR,DenverRockets
DTF,DetroitFalcons
FLO,TheFloridians
FTW,FortWaynePistons
GSW,GoldenStateWarriors
HOU,HoustonRockets
HSM,HoustonMavericks
INA,IndianaPacers
IND,IndianaPacers
INJ,IndianapolisJets
INO,IndianapolisOlympians
KCK,KansasCityKings
KCO,KansasCityOmahaKings
KEN,KentuckyColonels
LAC,LosAngelesClippers
LAL,LosAngelesLakers
LAS,LosAngelesStars
MEM,MemphisGrizzlies
MIA,MiamiHeat
MIL,MilwaukeeBucks
MIN,MinnesotaTimberwolves
MLH,MilwaukeeHawks
MMF,MiamiFloridians
MMP,MemphisPros
MMS,MemphisSounds
MMT,MemphisTams
MNL,MinneapolisLakers
MNM,MinnesotaMuskies
MNP,MinnesotaPipers
NJA,NewJerseyAmericans
NJN,NewJerseyNets
NOB,NewOrleansBuccaneers
NOH,NewOrleansHornets
NOJ,NewOrleansJazz
NOK,NewOrleansOklahomaCityHornets
NOP,NewOrleansPelicans
NYA,NewYorkNets
NYK,NewYorkKnicks
NYN,NewYorkNets
OAK,OaklandOaks
OKC,OklahomaCityThunder
ORL,OrlandoMagic
PHI,Philadelphiaers
PHO,PhoenixSuns
PHW,PhiladelphiaWarriors
PIT,PittsburghIronmen
POR,PortlandTrailBlazers
PRO,ProvidenceSteamRollers
PTC,PittsburghCondors
PTP,PittsburghPipers
ROC,RochesterRoyals
SAA,SanAntonioSpurs
SAC,SacramentoKings
SAS,SanAntonioSpurs
SDA,SanDiegoConquistadors
SDC,SanDiegoClippers
SDR,SanDiegoRockets
SDS,SanDiegoSails
SEA,SeattleSuperSonics
SFW,SanFranciscoWarriors
SHE,SheboyganRedSkins
SSL,SpiritsofStLouis
STB,StLouisBombers
STL,StLouisHawks
SYR,SyracuseNationals
TEX,TexasChaparrals
TOR,TorontoRaptors
TRH,TorontoHuskies
TRI,TriCitiesBlackhawks
UTA,UtahJazz
UTS,UtahStars
VAN,VancouverGrizzlies
VIR,VirginiaSquires
WAS,WashingtonWizards
WAT,WaterlooHawks
WSA,WashingtonCapitols
WSB,WashingtonBullets
WSC,WashingtonCapitols
